Name,Latitude,Longitude
UCTD096,37.023929,-122.369689
UCTD097,36.913484,-122.608848
UCTD098,36.796571,-122.861456
UCTD099,37.005566,-122.844833
UCTD100,37.125296,-122.585424
UCTD101,37.355391,-122.520949
UCTD102,37.227834,-122.799112
UCTD103,37.104986,-123.06659
UCTD104,37.301106,-123.038064
UCTD105,37.435535,-122.74456
UCTD106,37.677167,-122.632706
UCTD107,37.517214,-122.983015
UCTD108,37.359642,-123.327351
UCTD109,37.732054,-123.354429
UCTD110,37.845867,-123.105442
UCTD111,37.954358,-122.866979
UCTD112,38.174895,-123.214099
UCTD113,38.073225,-123.438005
UCTD114,38.290569,-123.796248
UCTD115,38.399459,-123.555858
UCTD116,38.505048,-123.322188
UCTD117,38.741218,-123.652039
UCTD118,38.640674,-123.8756
UCTD119,38.532817,-124.114998
UCTD120,38.890228,-124.165973
UCTD121,38.9922,-123.938467
UCTD122,39.068332,-123.768643
UCTD123,39.32962,-124.017846
UCTD124,39.241861,-124.214849
UCTD125,39.152048,-124.415953
UCTD126,39.517092,-124.465164
UCTD127,39.600072,-124.278406
UCTD128,39.684453,-124.088473
UCTD129,39.75963,-123.918871
UCTD130,40.028689,-124.207935
UCTD131,39.915911,-124.462456
UCTD132,39.802415,-124.718168
UCTD133,40.034237,-125.033762
UCTD134,40.148585,-124.774356
UCTD135,40.262449,-124.515625
UCTD136,40.450654,-124.742984
UCTD137,40.450411,-125.036913
UCTD138,40.774805,-124.853101
UCTD139,40.774835,-124.583513
UCTD140,40.774844,-124.319382
UCTD141,41.089354,-124.44548
UCTD142,41.089364,-124.715335
UCTD143,41.419965,-124.926827
UCTD144,41.4201,-124.561186
UCTD145,41.42025,-124.194001
UCTD146,41.765238,-124.382868
UCTD147,41.765043,-124.74283
UCTD148,41.764835,-125.099516
UCTD149,42.093949,-124.913117
UCTD150,42.094108,-124.561983
UCTD151,42.427489,-124.554434
UCTD152,42.427376,-124.825887
UCTD153,42.427373,-125.107467
UCTD154,42.760969,-124.695331
UCTD155,42.760998,-124.98184
UCTD156,42.760965,-125.266121
UCTD157,42.92777,-125.1012
UCTD158,42.927792,-124.779859
UCTD159,43.094175,-124.520199
UCTD160,43.093967,-124.855297
UCTD161,43.094158,-125.188359
UCTD162,43.260969,-124.933564
UCTD163,43.260809,-124.618573
UCTD164,43.425763,-124.371906
UCTD165,43.425867,-124.694234
UCTD166,43.425996,-125.025873
UCTD167,43.59856,-125.177126
UCTD168,43.598474,-124.853437
UCTD169,43.598401,-124.529328
UCTD170,43.762091,-124.269569
UCTD171,43.761936,-124.755735
UCTD172,43.761702,-125.2423
UCTD173,43.927158,-125.0019
UCTD174,43.92706,-124.681202
UCTD175,43.927232,-124.362287
UCTD176,44.090193,-124.225756
UCTD177,44.090359,-124.580119
UCTD178,44.090571,-124.934628
UCTD179,44.25581,-125.156268
UCTD180,44.256041,-124.772722
UCTD181,44.256261,-124.398524
UCTD182,44.427513,-124.171172
UCTD183,44.427235,-124.684861
UCTD184,44.426938,-125.199243
UCTD185,44.593995,-124.91479
UCTD186,44.594225,-124.41396
UCTD187,44.760122,-124.163445
UCTD188,44.760063,-124.658948
UCTD189,44.759876,-125.151985
UCTD190,44.927462,-124.912466
UCTD191,44.92728,-124.417774
UCTD192,45.089551,-124.080157
UCTD193,45.089709,-124.650169
UCTD194,45.089803,-125.234099
UCTD195,45.257432,-124.934861
UCTD196,45.257668,-124.352393
UCTD197,45.419656,-124.060358
UCTD198,45.419927,-124.641386
UCTD199,45.420261000000004,-125.215657
UCTD200,45.588062,-124.924858
UCTD201,45.588008,-124.316639
UCTD202,45.758058,-124.077516
UCTD203,45.758055,-124.631251
UCTD204,45.758047,-125.169492
UCTD205,45.925662,-124.916435
UCTD206,45.925668,-124.362778
UCTD207,46.086875,-124.070191
UCTD208,46.086868,-124.638616
UCTD209,46.086689,-125.194567
UCTD210,46.254818,-125.288238
UCTD211,46.254627,-124.759455
UCTD212,46.254318,-124.231129
UCTD213,46.421457,-124.471513
UCTD214,46.421499,-125.007038
UCTD215,46.583538,-125.209147
UCTD216,46.583613,-124.702518
UCTD217,46.5837,-124.197316
UCTD218,46.750262,-124.435629
UCTD219,46.75052,-124.963865
UCTD220,46.923346,-125.144421
UCTD221,46.923116,-124.705153
UCTD222,46.922962,-124.327862
UCTD223,47.095261,-124.510276
UCTD224,47.095265,-124.936445
UCTD225,47.095341,-125.360362
UCTD226,47.095187,-125.785205
UCTD227,47.258442,-125.935144
UCTD228,47.258088,-125.143348
UCTD229,47.257621,-124.350678
UCTD230,47.425547,-124.729771
UCTD231,47.425091,-125.541153
UCTD232,47.591951,-125.800488
UCTD233,47.591781,-125.176122
UCTD234,47.591521,-124.576828
UCTD235,47.763389,-124.852916
UCTD236,47.763749,-125.500514
UCTD237,47.76368,-126.157923
UCTD238,47.926088,-125.844716
UCTD239,47.926098,-125.186987
UCTD240,47.926077,-124.769368
UCTD241,48.093976,-124.984148
UCTD242,48.093785,-125.529531
UCTD243,48.093522,-126.156277
UCTD244,48.260578,-125.841557
UCTD245,48.26088,-125.267008
UCTD246,48.260795,-124.802091
UCTD247,48.381646,-125.009862
UCTD248,48.561363,-124.782188
UCTD249,48.651423,-124.995316
UCTD250,48.436163,-125.268622
UCTD251,48.411755,-125.62724300000001
UCTD252,48.616746,-125.36762
UCTD253,48.79933,-125.482369
UCTD254,48.592547,-125.745264
UCTD255,48.382244,-126.011931
UCTD256,48.404716,-126.330599
UCTD257,48.612831,-126.066677
UCTD258,48.823172,-125.799126
UCTD259,48.967817,-125.928637
UCTD260,48.760503,-126.192666
UCTD261,48.555884,-126.452288
UCTD262,48.574377,-126.769074
UCTD263,48.782193,-126.504766
UCTD264,48.990502,-126.238913
UCTD265,49.184545,-126.321455
UCTD266,48.979209,-126.584167
UCTD267,48.772824,-126.847454
UCTD268,48.982745,-126.914614
UCTD269,49.192664,-126.646119
UCTD270,49.454166,-126.65061
UCTD271,49.23218,-126.936126
UCTD272,49.016552,-127.212471
UCTD273,49.245851,-127.251401
UCTD274,49.457956,-126.977737
UCTD275,49.689139,-127.023216
UCTD276,49.482568,-127.290359
UCTD277,49.272923,-127.561025
UCTD278,49.494643,-127.614066
UCTD279,49.702411,-127.344803
UCTD280,49.905337,-127.419992
UCTD281,49.699223,-127.68771
UCTD282,49.499929,-127.945739
UCTD283,49.7003,-128.021196
UCTD284,49.905956,-127.753653
UCTD285,50.041748,-127.91537
UCTD286,49.86367,-128.147937
UCTD287,49.683974,-128.381052
UCTD288,49.885535,-128.469763
UCTD289,50.072522,-128.225679
UCTD290,50.412879,-128.130152
UCTD291,50.259683,-128.331664
UCTD292,50.095834,-128.545979
UCTD293,50.116728,-128.851466
UCTD294,50.29014,-128.624502
UCTD295,50.457221,-128.405055
UCTD296,50.655226,-128.47697
UCTD297,50.4966,-128.686585
UCTD298,50.335758,-128.898018
